Date,Open,High,Low,Close,Adj Close,Volume
"5-Feb-16	""5",5898.76,5945.90 ,5839.36 ,5848.06 ,5848.06 ,5848.06 
"8-Feb-16	""5",5848.06,5882.43 ,5666.13 ,5689.36 ,5689.36 ,5689.36 
"9-Feb-16	""5",5689.36,5739.25 ,5596.26 ,5632.19 ,5632.19 ,5632.19 
"10-Feb-16	""5",5632.19,5712.78 ,5616.88 ,5672.30 ,5672.30 ,5672.30 
"11-Feb-16	""5",5672.30,5672.30 ,5499.51 ,5536.97 ,5536.97 ,5536.97 
"12-Feb-16	""5",5536.97,5707.60 ,5536.97 ,5707.60 ,5707.60 ,5707.60 
"15-Feb-16	""5",5707.60,5844.53 ,5707.60 ,5824.28 ,5824.28 ,5824.28 
"16-Feb-16	""5",5824.28,5880.72 ,5812.49 ,5862.17 ,5862.17 ,5862.17 
"17-Feb-16	""5",5862.17,6030.32 ,5862.17 ,6030.32 ,6030.32 ,6030.32 
"18-Feb-16	""6",6030.32,6036.46 ,5948.25 ,5971.95 ,5971.95 ,5971.95 
"19-Feb-16	""5",5971.95,6001.22 ,5916.26 ,5950.23 ,5950.23 ,5950.23 
"22-Feb-16	""5",5950.23,6065.81 ,5950.23 ,6037.73 ,6037.73 ,6037.73 
"23-Feb-16	""6",6037.73,6037.73 ,5954.18 ,5962.31 ,5962.31 ,5962.31 
"24-Feb-16	""5",5962.31,5966.73 ,5845.55 ,5867.18 ,5867.18 ,5867.18 
"25-Feb-16	""5",5867.18,6028.97 ,5867.18 ,6012.81 ,6012.81 ,6012.81 
"26-Feb-16	""6",6012.81,6115.37 ,6012.81 ,6096.01 ,6096.01 ,6096.01 
"29-Feb-16	""6",6096.01,6104.98 ,6033.21 ,6097.09 ,6097.09 ,6097.09 
"1-Mar-16	""6",6097.09,6153.75 ,6070.51 ,6152.88 ,6152.88 ,6152.88 
"2-Mar-16	""6",6152.88,6194.01 ,6097.77 ,6147.06 ,6147.06 ,6147.06 
"3-Mar-16	""6",6147.06,6173.70 ,6108.35 ,6130.46 ,6130.46 ,6130.46 
"4-Mar-16	""6",6130.46,6204.14 ,6130.46 ,6199.43 ,6199.43 ,6199.43 
"7-Mar-16	""6",6199.43,6216.10 ,6125.64 ,6182.40 ,6182.40 ,6182.40 
"8-Mar-16	""6",6182.40,6182.45 ,6101.89 ,6125.44 ,6125.44 ,6125.44 
"9-Mar-16	""6",6125.44,6174.82 ,6118.23 ,6146.32 ,6146.32 ,6146.32 
"10-Mar-16	""6",6146.32,6203.40 ,6036.70 ,6036.70 ,6036.70 ,6036.70 
"11-Mar-16	""6",6036.70,6150.88 ,6036.70 ,6139.79 ,6139.79 ,6139.79 
"14-Mar-16	""6",6139.79,6197.83 ,6139.79 ,6174.57 ,6174.57 ,6174.57 
"15-Mar-16	""6",6174.57,6174.57 ,6114.77 ,6139.97 ,6139.97 ,6139.97 
"16-Mar-16	""6",6139.97,6186.18 ,6134.27 ,6175.49 ,6175.49 ,6175.49 
"17-Mar-16	""6",6175.49,6220.02 ,6125.70 ,6201.12 ,6201.12 ,6201.12 
"18-Mar-16	""6",6201.12,6237.02 ,6186.24 ,6189.64 ,6189.64 ,6189.64 
